userId,userName,debutYear,firstPostTime,firstTitle,firstContentId,latestPostTime,latestTitle,latestContentId,isActiveRecent1Year
64159360,maito,2019,2019-03-25 19:00:00,トリッカーと行く【みつ】道の駅巡り,sm34842958,2026-05-28 20:00:00,さとうささら車載【新しいバイクは】？？？と行く,sm46364420,True
64211578,User 64211578,2017,2017-09-20 01:03:13,北海道上陸当日は有名な江別のご当地SEを聴くのです,sm31958046,2017-09-20 01:03:13,北海道上陸当日は有名な江別のご当地SEを聴くのです,sm31958046,False
64360687,User 64360687,2019,2019-12-27 21:29:02,【初投稿】あっは☆バイク乗っちゃうよ～ん(包丁ペロペロ)【ゆっくり車載】,sm36143323,2019-12-27 21:29:02,【初投稿】あっは☆バイク乗っちゃうよ～ん(包丁ペロペロ)【ゆっくり車載】,sm36143323,False
64378284,栗豚,2018,2018-09-22 12:32:02,【東北ずん子車載】東北ずん子の宮城ツーリング探訪 part1,sm33897702,2020-07-02 21:00:00,【東北ずん子車載】東北ずん子の宮城ツーリング探訪 part18,sm37124294,False
64832463,ばっぷ,2018,2018-04-22 13:17:10,【車載動画】ウサゆか自動車載～三瀬峠編～【結月ゆかり】,sm33090285,2022-04-22 03:48:02,【第二回10秒動画祭】オートポリスでしくじった件,sm40354052,False
64981436,江戸川半歩,2020,2020-04-05 16:50:02,自転車車載配信をする黒澤 2020年3月,sm36626536,2020-04-05 16:50:02,自転車車載配信をする黒澤 2020年3月,sm36626536,False
65278092,ナラニアン,2025,2025-07-16 17:10:00,【宮舞モカのならポタ】亀の瀬・葡萄坂・大門ダム【シンプル車載動画投稿祭】,sm45193162,2026-07-20 10:00:00,【シンプル車載動画投稿祭】早春ビーナスぷちツーリング【宮舞モカ投稿祭夏】,sm46568405,True
65326830,入村あさ,2017,2017-12-16 12:56:07,【結月ワインディング】  奥浜名湖オレンジロード【結月ゆかり車載】,sm32428096,2018-09-14 17:55:05,【結月ワインディング】 磐梯吾妻スカイライン【結月ゆかり車載】,sm33853995,False
65419932,廃色,2017,2017-07-22 05:10:13,終末の旅。part4【日帰り秩父編】,sm31612257,2017-07-22 05:10:13,終末の旅。part4【日帰り秩父編】,sm31612257,False
65474618,うすにもつ,2025,2025-05-01 17:00:00,騙され(？)セイカさんの原付西日本制覇 part1【スーパーカブカスタム50】,sm44935685,2025-05-01 17:00:00,騙され(？)セイカさんの原付西日本制覇 part1【スーパーカブカスタム50】,sm44935685,False
65532626,とれんた君,2017,2017-10-22 16:14:20,まぜるな自然 北海道海水ツーリング 【VOICEROID車載】 part1,sm32139647,2026-07-19 21:42:52,北海道一のゆきだるまを生み出してしまった記録【ボイロ車載】,sm46567849,True
65599533,カスバル,2020,2020-03-24 22:01:02,[1分弱車載祭]ゆかりさんとSEROWで行くpart.0 大洗　　　　　　　　　,sm36564946,2020-03-24 22:01:02,[1分弱車載祭]ゆかりさんとSEROWで行くpart.0 大洗　　　　　　　　　,sm36564946,False
65774437,ま～ちん,2021,2021-03-27 00:38:02,【紲星あかり車載】あかりは愛知を走りたい！#1三ヶ根山スカイライン,sm38490143,2022-06-16 23:45:03,【CeVIO車載】フィーちゃんの にっぽんメロンパン探訪記！ #1那須高原SA下り【メロンパン】,sm40633228,False
